MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,FUEL CONSUMPTION,COEMISSIONS,TRANSMISSION_A4,TRANSMISSION_A5,TRANSMISSION_AS4,TRANSMISSION_AS5,TRANSMISSION_M5,TRANSMISSION_M6,FUEL_E,FUEL_N,FUEL_X,FUEL_Z,scaled_fuel_consumption,scaled_engine_size
CHEVROLET,CAVALIER,SUBCOMPACT,2.4,4,12.5,248,True,False,False,False,False,False,False,False,True,False,0.35514018691588783,0.4516129032258065
INFINITI,G20,COMPACT,2.0,4,11.4,230,False,False,False,False,True,False,False,False,True,False,0.3037383177570094,0.32258064516129037
CADILLAC,ELDORADO,MID-SIZE,4.6,8,15.5,297,True,False,False,False,False,False,False,False,False,True,0.4953271028037383,1.1612903225806452
SUBARU,IMPREZA AWD,SUBCOMPACT,2.5,4,12.8,258,False,False,False,False,True,False,False,False,True,False,0.36915887850467294,0.48387096774193555
MERCEDES-BENZ,CLK 320,SUBCOMPACT,3.2,6,12.9,255,False,True,False,False,False,False,False,False,False,True,0.3738317757009346,0.7096774193548389
DODGE,GRAND CARAVAN FFV,MINIVAN,3.3,6,20.6,283,True,False,False,False,False,False,True,False,False,False,0.7336448598130842,0.7419354838709677
AUDI,A4 QUATTRO,COMPACT,2.8,6,14.9,292,False,True,False,False,False,False,False,False,False,True,0.4672897196261683,0.5806451612903226
GMC,K1500 SIERRA 4X4,PICKUP TRUCK - STANDARD,4.8,8,17.3,366,True,False,False,False,False,False,False,False,True,False,0.5794392523364487,1.2258064516129032
SATURN,LS,MID-SIZE,3.0,6,13.3,269,True,False,False,False,False,False,False,False,True,False,0.39252336448598135,0.6451612903225807
CHEVROLET,CAMARO,SUBCOMPACT,5.7,8,15.4,306,True,False,False,False,False,False,False,False,False,True,0.4906542056074767,1.5161290322580647
SUZUKI,VITARA 4X4,SUV,2.0,4,11.8,253,False,False,False,False,True,False,False,False,True,False,0.3224299065420561,0.32258064516129037
CHEVROLET,NEW C1500 SUBURBAN,SUV,5.3,8,18.9,391,True,False,False,False,False,False,False,False,True,False,0.6542056074766355,1.3870967741935485
SAAB,9-5 TURBO,FULL-SIZE,3.0,6,14.3,283,True,False,False,False,False,False,False,False,True,False,0.4392523364485982,0.6451612903225807
PONTIAC,GRAND PRIX,MID-SIZE,3.1,6,13.1,255,True,False,False,False,False,False,False,False,True,False,0.38317757009345793,0.6774193548387097
BMW,323Ci,COMPACT,2.5,6,13.8,271,False,True,False,False,False,False,False,False,False,True,0.41588785046728977,0.48387096774193555
ACURA,1.6EL,COMPACT,1.6,4,10.5,216,True,False,False,False,False,False,False,False,True,False,0.2616822429906542,0.19354838709677424
VOLVO,S80 T-6,MID-SIZE,2.8,6,15.1,297,False,False,True,False,False,False,False,False,False,True,0.4766355140186916,0.5806451612903226
PONTIAC,SUNFIRE,SUBCOMPACT,2.4,4,12.5,248,True,False,False,False,False,False,False,False,True,False,0.35514018691588783,0.4516129032258065
TOYOTA,TACOMA 4X4,PICKUP TRUCK - STANDARD,2.7,4,15.7,329,False,False,False,False,True,False,False,False,True,False,0.5046728971962616,0.5483870967741936
PONTIAC,FIREBIRD/FORMULA,SUBCOMPACT,3.8,6,13.9,269,True,False,False,False,False,False,False,False,True,False,0.42056074766355145,0.903225806451613
PORSCHE,911 CARRERA 4,MINICOMPACT,3.4,6,15.7,311,False,False,False,False,False,True,False,False,False,True,0.5046728971962616,0.7741935483870969
GMC,G1500/G2500 SAVANA PASSENGER,VAN - PASSENGER,5.0,8,18.3,377,True,False,False,False,False,False,False,False,True,False,0.6261682242990655,1.2903225806451615
AUDI,A6 QUATTRO,MID-SIZE,2.8,6,14.6,297,False,False,False,False,True,False,False,False,False,True,0.4532710280373832,0.5806451612903226
BUICK,LESABRE,FULL-SIZE,3.8,6,13.8,265,True,False,False,False,False,False,False,False,True,False,0.41588785046728977,0.903225806451613
CHEVROLET,METRO,SUBCOMPACT,1.3,4,7.6,156,False,False,False,False,True,False,False,False,True,False,0.1261682242990654,0.09677419354838712
PONTIAC,FIREFLY,SUBCOMPACT,1.0,3,7.1,147,False,False,False,False,True,False,False,False,True,False,0.10280373831775698,0.0
FORD,ESCORT ZX2,COMPACT,2.0,4,10.6,216,True,False,False,False,False,False,False,False,True,False,0.26635514018691586,0.32258064516129037
CHEVROLET,CAMARO,SUBCOMPACT,5.7,8,14.7,285,False,False,False,False,False,True,False,False,False,True,0.45794392523364486,1.5161290322580647
DODGE,GRAND CARAVAN,MINIVAN,3.3,6,14.5,288,True,False,False,False,False,False,False,False,True,False,0.4485981308411215,0.7419354838709677
MERCEDES-BENZ,SL 500,SUBCOMPACT,5.0,8,16.3,322,False,True,False,False,False,False,False,False,False,True,0.5327102803738318,1.2903225806451615
FORD,WINDSTAR VAN,VAN - CARGO,3.8,6,14.9,304,True,False,False,False,False,False,False,False,True,False,0.4672897196261683,0.903225806451613
AUDI,A6 AVANT QUATTRO,STATION WAGON - MID-SIZE,2.8,6,15.4,306,False,True,False,False,False,False,False,False,False,True,0.4906542056074767,0.5806451612903226
TOYOTA,TACOMA,PICKUP TRUCK - STANDARD,2.4,4,12.6,267,True,False,False,False,False,False,False,False,True,False,0.3598130841121495,0.4516129032258065
VOLKSWAGEN,NEW BEETLE,SUBCOMPACT,2.0,4,11.9,244,True,False,False,False,False,False,False,False,True,False,0.3271028037383178,0.32258064516129037
CHRYSLER,NEON,COMPACT,2.0,4,10.9,223,False,False,False,False,False,False,False,False,True,False,0.28037383177570097,0.32258064516129037
HONDA,INSIGHT,SUBCOMPACT,1.0,3,4.9,104,False,False,False,False,True,False,False,False,True,False,0.0,0.0
HONDA,ACCORD EX/LX,MID-SIZE,2.3,4,10.8,221,False,False,False,False,True,False,False,False,True,False,0.2757009345794393,0.41935483870967744
TOYOTA,TACOMA 4X4,PICKUP TRUCK - STANDARD,3.4,6,15.7,331,False,False,False,False,True,False,False,False,True,False,0.5046728971962616,0.7741935483870969
MERCEDES-BENZ,CLK 430,SUBCOMPACT,4.3,8,14.4,290,False,True,False,False,False,False,False,False,False,True,0.44392523364485986,1.0645161290322582
VOLKSWAGEN,GOLF TDI DIESEL,COMPACT,1.9,4,8.1,192,True,False,False,False,False,False,False,False,False,False,0.14953271028037382,0.2903225806451613
JAGUAR,XJR #,COMPACT,4.0,8,16.5,331,False,True,False,False,False,False,False,False,False,True,0.5420560747663552,0.9677419354838711
MERCEDES-BENZ,E 320 WAGON,STATION WAGON - MID-SIZE,3.2,6,13.2,267,False,True,False,False,False,False,False,False,False,True,0.3878504672897196,0.7096774193548389
VOLVO,S80 2.9,MID-SIZE,2.9,6,14.5,285,True,False,False,False,False,False,False,False,False,True,0.4485981308411215,0.6129032258064516
DODGE,CARAVAN FFV,MINIVAN,3.3,6,20.6,283,True,False,False,False,False,False,True,False,False,False,0.7336448598130842,0.7419354838709677
BMW,X5,SUV,4.4,8,14.9,294,False,True,False,False,False,False,False,False,False,True,0.4672897196261683,1.0967741935483872
GMC,SONOMA,PICKUP TRUCK - SMALL,2.2,4,13.8,278,True,False,False,False,False,False,False,False,True,False,0.41588785046728977,0.3870967741935485
BMW,540i,COMPACT,4.4,8,16.4,317,False,False,False,False,False,True,False,False,False,True,0.5373831775700935,1.0967741935483872
CHEVROLET,CAVALIER,SUBCOMPACT,2.4,4,12.1,235,False,False,False,False,True,False,False,False,True,False,0.3364485981308411,0.4516129032258065
VOLVO,C70 TURBO,COMPACT,2.3,5,13.0,260,False,False,False,False,True,False,False,False,False,True,0.37850467289719625,0.41935483870967744
NISSAN,QUEST,MINIVAN,3.3,6,15.5,306,True,False,False,False,False,False,False,False,True,False,0.4953271028037383,0.7419354838709677
CHEVROLET,K1500 SILVERADO 4X4,PICKUP TRUCK - STANDARD,4.8,8,20.1,405,False,False,False,False,True,False,False,False,True,False,0.7102803738317758,1.2258064516129032
HONDA,ACCORD DX,MID-SIZE,2.3,4,11.5,235,False,False,False,False,True,False,False,False,True,False,0.308411214953271,0.41935483870967744
DODGE,RAM 1500 4X4,PICKUP TRUCK - STANDARD,5.2,8,22.1,437,False,False,False,False,True,False,False,False,True,False,0.8037383177570095,1.3548387096774195
VOLVO,V70R AWD TURBO,STATION WAGON - MID-SIZE,2.4,5,14.7,299,False,True,False,False,False,False,False,False,False,True,0.45794392523364486,0.4516129032258065
SUZUKI,GRAND VITARA 4X4,SUV,2.5,6,14.2,304,True,False,False,False,False,False,False,False,True,False,0.43457943925233644,0.48387096774193555
SATURN,SL #,COMPACT,1.9,4,10.3,202,False,False,False,False,True,False,False,False,True,False,0.25233644859813087,0.2903225806451613
TOYOTA,CAMRY,MID-SIZE,3.0,6,13.4,267,True,False,False,False,False,False,False,False,True,False,0.39719626168224303,0.6451612903225807
NISSAN,FRONTIER V6 4X4,PICKUP TRUCK - STANDARD,3.3,6,17.3,361,True,False,False,False,False,False,False,False,True,False,0.5794392523364487,0.7419354838709677
TOYOTA,ECHO,COMPACT,1.5,4,8.2,173,False,False,False,False,True,False,False,False,True,False,0.15420560747663548,0.16129032258064518
GMC,K1500 SIERRA 4X4,PICKUP TRUCK - STANDARD,4.3,6,18.7,386,False,False,False,False,True,False,False,False,True,False,0.6448598130841121,1.0645161290322582
HYUNDAI,ACCENT,COMPACT,1.5,4,10.5,209,True,False,False,False,False,False,False,False,True,False,0.2616822429906542,0.16129032258064518
PONTIAC,GRAND AM,COMPACT,2.4,4,12.1,242,True,False,False,False,False,False,False,False,True,False,0.3364485981308411,0.4516129032258065
GMC,K1500 SIERRA 4X4,PICKUP TRUCK - STANDARD,4.3,6,17.0,350,True,False,False,False,False,False,False,False,True,False,0.5654205607476636,1.0645161290322582
CHRYSLER,SEBRING CONVERTIBLE,COMPACT,2.5,6,13.6,269,True,False,False,False,False,False,False,False,True,False,0.40654205607476634,0.48387096774193555
CHEVROLET,S10,PICKUP TRUCK - SMALL,4.3,6,15.4,313,True,False,False,False,False,False,False,False,True,False,0.4906542056074767,1.0645161290322582
SATURN,LS,MID-SIZE,2.2,4,12.2,235,False,False,False,False,True,False,False,False,True,False,0.3411214953271028,0.3870967741935485
TOYOTA,CAMRY SOLARA,COMPACT,3.0,6,12.7,253,False,False,False,False,True,False,False,False,True,False,0.3644859813084112,0.6451612903225807
DODGE,GRAND CARAVAN AWD,MINIVAN,3.8,6,16.2,320,True,False,False,False,False,False,False,False,True,False,0.5280373831775701,0.903225806451613
JAGUAR,XK8 CONVERTIBLE,MINICOMPACT,4.0,8,15.5,306,False,True,False,False,False,False,False,False,False,True,0.4953271028037383,0.9677419354838711
JEEP,GRAND CHEROKEE 4X4,SUV,4.0,6,16.5,336,True,False,False,False,False,False,False,False,True,False,0.5420560747663552,0.9677419354838711
VOLVO,S70 T5 TURBO,MID-SIZE,2.3,5,13.0,260,False,False,False,False,True,False,False,False,False,True,0.37850467289719625,0.41935483870967744
VOLKSWAGEN,GOLF,COMPACT,2.0,4,11.9,244,True,False,False,False,False,False,False,False,True,False,0.3271028037383178,0.32258064516129037
CHRYSLER,INTREPID,FULL-SIZE,3.5,6,14.4,283,False,False,True,False,False,False,False,False,True,False,0.44392523364485986,0.8064516129032259
CHRYSLER,INTREPID,FULL-SIZE,3.2,6,14.2,274,False,False,True,False,False,False,False,False,True,False,0.43457943925233644,0.7096774193548389
HYUNDAI,ELANTRA WAGON,STATION WAGON - SMALL,2.0,4,11.4,228,False,False,False,False,True,False,False,False,True,False,0.3037383177570094,0.32258064516129037
AUDI,A6 QUATTRO,MID-SIZE,2.7,6,15.2,304,False,True,False,False,False,False,False,False,False,True,0.48130841121495327,0.5483870967741936
DODGE,DAKOTA,PICKUP TRUCK - STANDARD,5.9,8,20.8,423,True,False,False,False,False,False,False,False,True,False,0.7429906542056075,1.580645161290323
SUBARU,IMPREZA AWD,SUBCOMPACT,2.2,4,11.7,239,True,False,False,False,False,False,False,False,True,False,0.3177570093457944,0.3870967741935485
AUDI,A4,COMPACT,2.8,6,13.2,260,False,False,False,False,True,False,False,False,False,True,0.3878504672897196,0.5806451612903226
AUDI,S4 QUATTRO,COMPACT,2.7,6,15.2,304,False,True,False,False,False,False,False,False,False,True,0.48130841121495327,0.5483870967741936
NISSAN,ALTIMA,COMPACT,2.4,4,11.6,235,False,False,False,False,True,False,False,False,True,False,0.3130841121495327,0.4516129032258065
DODGE,DAKOTA,PICKUP TRUCK - STANDARD,3.9,6,16.8,329,False,False,False,False,True,False,False,False,True,False,0.5560747663551402,0.935483870967742
MAZDA,MILLENIA,COMPACT,2.5,6,13.8,276,True,False,False,False,False,False,False,False,False,True,0.41588785046728977,0.48387096774193555
LINCOLN,TOWN CAR,FULL-SIZE,4.6,8,15.3,304,True,False,False,False,False,False,False,False,True,False,0.485981308411215,1.1612903225806452
FORD,F150,PICKUP TRUCK - STANDARD,4.6,8,17.8,354,False,False,False,False,True,False,False,False,True,False,0.602803738317757,1.1612903225806452
LINCOLN,LS,MID-SIZE,3.0,6,15.5,304,False,False,False,False,True,False,False,False,True,False,0.4953271028037383,0.6451612903225807
FORD,TAURUS WAGON,STATION WAGON - MID-SIZE,3.0,6,14.2,278,True,False,False,False,False,False,False,False,True,False,0.43457943925233644,0.6451612903225807
DAEWOO,LANOS,SUBCOMPACT,1.5,4,10.3,205,False,False,False,False,True,False,False,False,True,False,0.25233644859813087,0.16129032258064518
CHEVROLET,S10 4X4,PICKUP TRUCK - STANDARD,4.3,6,16.8,345,True,False,False,False,False,False,False,False,True,False,0.5560747663551402,1.0645161290322582
MAZDA,B3000,PICKUP TRUCK - STANDARD,3.0,6,16.2,322,False,False,False,False,True,False,False,False,True,False,0.5280373831775701,0.6451612903225807
GMC,C2500 SIERRA,PICKUP TRUCK - STANDARD,6.0,8,21.4,435,True,False,False,False,False,False,False,False,True,False,0.7710280373831776,1.6129032258064517
CHEVROLET,MALIBU,MID-SIZE,3.1,6,13.1,255,True,False,False,False,False,False,False,False,True,False,0.38317757009345793,0.6774193548387097
TOYOTA,TACOMA 4X4,PICKUP TRUCK - STANDARD,3.4,6,15.2,324,True,False,False,False,False,False,False,False,True,False,0.48130841121495327,0.7741935483870969
DODGE,DAKOTA 4X4,PICKUP TRUCK - STANDARD,3.9,6,18.1,375,True,False,False,False,False,False,False,False,True,False,0.6168224299065421,0.935483870967742
BMW,Z3,SUBCOMPACT,2.8,6,13.9,278,True,False,False,False,False,False,False,False,False,True,0.42056074766355145,0.5806451612903226
KIA,SEPHIA,COMPACT,1.8,4,11.2,237,False,False,False,False,True,False,False,False,True,False,0.29439252336448596,0.2580645161290323
FORD,E150 CLUB WAGON,VAN - PASSENGER,5.4,8,19.9,403,True,False,False,False,False,False,False,False,True,False,0.7009345794392523,1.4193548387096777
GMC,C1500 SIERRA,PICKUP TRUCK - STANDARD,4.8,8,16.3,334,True,False,False,False,False,False,False,False,True,False,0.5327102803738318,1.2258064516129032
AUDI,A6,MID-SIZE,2.8,6,15.0,294,False,True,False,False,False,False,False,False,False,True,0.4719626168224299,0.5806451612903226
SATURN,LW WAGON,STATION WAGON - MID-SIZE,3.0,6,13.3,269,True,False,False,False,False,False,False,False,True,False,0.39252336448598135,0.6451612903225807
FORD,FOCUS WAGON,STATION WAGON - MID-SIZE,2.0,4,10.9,216,False,False,False,False,True,False,False,False,True,False,0.28037383177570097,0.32258064516129037
ISUZU,TROOPER 4X4,SUV,3.5,6,17.9,368,False,False,False,False,True,False,False,False,True,False,0.6074766355140186,0.8064516129032259
